"","YTID","Author","Year","Title","Journal","Volume","Issue","Pages","DOI","PMCID","Record Number"
"100","1979 - Survival of rabbits after prolonged cerebral ischemia","R. J. Kolata",1979,"Survival of rabbits after prolonged cerebral ischemia","Stroke","10","3","272-7",NA,NA,15290
"101","1979 - Telemetered electromyography of flexor digitorum profundus and flexor digitorum superficialis in Pan troglodytes and implications for interpretation of the O.H. 7 hand","R. L. Susman and J. T. Stern Jr",1979,"Telemetered electromyography of flexor digitorum profundus and flexor digitorum superficialis in Pan troglodytes and implications for interpretation of the O.H. 7 hand","American Journal of Physical Anthropology","50","4","565-574","10.1002/ajpa.1330500408",NA,15291
"102","1979 - The role of electrically excitable mesencephalic behavioral mechanisms in naturally occurring attack and ingestive behavior","R. J. Waldbillig",1979,"The role of electrically excitable mesencephalic behavioral mechanisms in naturally occurring attack and ingestive behavior","Physiology and Behavior","22","3","473-477","10.1016/0031-9384(79)90012-X",NA,15287
"103","1979 - Tumor induced brain damage in rats: implications for behavioral and anatomical studies with aging animals","D. G. Stein and E. J. Mufson",1979,"Tumor induced brain damage in rats: implications for behavioral and anatomical studies with aging animals","Exp Aging Res","5","6","537-47","10.1080/03610737908257227",NA,15292
"104","1980 - Cardiac pumping ability following reversal of hypertrophy and hypertension in spontaneously hypertensive rats","M. M. Spech, C. M. Ferrario and R. C. Tarazi",1980,"Cardiac pumping ability following reversal of hypertrophy and hypertension in spontaneously hypertensive rats","Hypertension","2","1","75-82",NA,NA,15297
"105","1980 - Catecholamine levels and turnover during brain ischemia in the rat","J. Bralet, P. Beley, A. M. Bralet and A. Beley",1980,"Catecholamine levels and turnover during brain ischemia in the rat","Journal of Neural Transmission - General Section","48","3","143-155",NA,NA,15299
"106","1980 - Clinical and pathophysiologic changes in patients on chronic dialysis: the central nervous system","D. N. Kerr",1980,"Clinical and pathophysiologic changes in patients on chronic dialysis: the central nervous system","Advances in nephrology from the Necker Hospital","9",NA,"109-132",NA,NA,15300
"107","1980 - Clinicomorphologic markers for predicting behavior and guiding therapy for brain tumors","J. C. Parker Jr, E. L. Parris and P. F. Reyes",1980,"Clinicomorphologic markers for predicting behavior and guiding therapy for brain tumors","Journal of Surgical Oncology","14","1","21-34",NA,NA,15301
"108","1980 - Cortical cellular response in acute subarachnoid hemorrhage","O. R. Hubschmann and D. Kornhauser",1980,"Cortical cellular response in acute subarachnoid hemorrhage","J Neurosurg","52","4","456-62","10.3171/jns.1980.52.4.0456",NA,15302
"109","1980 - Factors influencing maternal attack on conspecific intruders by lactating female 'TO' strain mice","S. Al-Maliki, P. F. Brain, G. Childs and D. Benton",1980,"Factors influencing maternal attack on conspecific intruders by lactating female 'TO' strain mice","Aggressive Behavior","6","2","103-117",NA,NA,15308
"110","1980 - Hemodynamic responses to different modes of mechanical ventilation in dogs with normal and acid aspirated lungs","B. Venus, H. K. Jacobs and M. Mathru",1980,"Hemodynamic responses to different modes of mechanical ventilation in dogs with normal and acid aspirated lungs","Crit Care Med","8","11","620-7",NA,NA,15311
"111","1980 - Localization of cortical gustatory area in rats and its role in taste discrimination","T. Yamamoto, R. Matsuo and Y. Kawamura",1980,"Localization of cortical gustatory area in rats and its role in taste discrimination","Journal of Neurophysiology","44","3","440-455",NA,NA,15313
"112","1980 - Modification by antiplatelet drugs of acute EEG changes induced in the rat by sodium arachidonate","D. Schwartzmiller",1980,"Modification by antiplatelet drugs of acute EEG changes induced in the rat by sodium arachidonate","Pharmacology","20","2","101-105",NA,NA,15314
"113","1980 - Modulation of extracellular calcium and its functional implications","C. Nicholson",1980,"Modulation of extracellular calcium and its functional implications","Fed Proc","39","5","1519-23",NA,NA,15315
"114","1980 - Monoamines and related enzymes in cerebral cortex and basal ganglia following transient ischemia in gerbils","V. Cvejic, D. V. Micic, B. M. Djuricic, B. J. Mrsulja and B. B. Mrsulja",1980,"Monoamines and related enzymes in cerebral cortex and basal ganglia following transient ischemia in gerbils","Acta Neuropathol","51","1","71-7",NA,NA,15316
"115","1980 - Morphological analysis of malignancy: A comparative study of transplanted brain tumours","P. Davaki and P. L. Lantos",1980,"Morphological analysis of malignancy: A comparative study of transplanted brain tumours","British Journal of Experimental Pathology","61","6","655-660",NA,NA,15317
"116","1980 - Pentobarbital sodium and attack behavior in male Siamese fighting fish","M. H. Figler and B. J. Klauenberg",1980,"Pentobarbital sodium and attack behavior in male Siamese fighting fish","Psychopharmacology","69","2","207-208",NA,NA,15320
"117","1980 - Regional cortical metabolism in focal ischemia","R. A. Ratcheson and J. A. Ferrendelli",1980,"Regional cortical metabolism in focal ischemia","J Neurosurg","52","6","755-63","10.3171/jns.1980.52.6.0755",NA,15322
"118","1980 - Reproductive evaluation of staphylococcal phage lysate (SPL) (3). Peri- and postnatal study in rats","H. Hirayama, S. Wada and T. Kimura",1980,"Reproductive evaluation of staphylococcal phage lysate (SPL) (3). Peri- and postnatal study in rats","Pharmacometrics","20","4","595-608",NA,NA,15323
"119","1980 - Resident rats' aggression toward intruders","P. F. Brain, D. Benton, P. A. Howell and S. E. Jones",1980,"Resident rats' aggression toward intruders","Animal Learning and Behavior","8","2","331-335",NA,NA,15324
"120","1980 - The differential effect of right versus left hemispheric cerebral infarction on catecholamines and behavior in the rat","R. G. Robinson and J. T. Coyle",1980,"The differential effect of right versus left hemispheric cerebral infarction on catecholamines and behavior in the rat","Brain Research","188","1","63-78","10.1016/0006-8993(80)90557-0",NA,15303
"121","1980 - The effect of mild microembolic injury on the energy metabolism of the cat brain","T. Sugi, F. J. Schuier, K. A. Hossmann and K. J. Zulch",1980,"The effect of mild microembolic injury on the energy metabolism of the cat brain","J Neurol","223","4","285-92",NA,NA,15305
"122","1980 - Ventilatory and circulatory responses to hyperthermia in the mute swan (Cygnus olor)","C. Bech and K. Johansen",1980,"Ventilatory and circulatory responses to hyperthermia in the mute swan (Cygnus olor)","The Journal of experimental biology","88",NA,"195-204",NA,NA,15329
"123","1981 - Artificial selection for short and long attack latencies in wild Mus musculus domesticus","G. A. Van Oortmerssen and C. M. Bakker Th",1981,"Artificial selection for short and long attack latencies in wild Mus musculus domesticus","Behavior Genetics","11","2","115-126","10.1007/BF01065622",NA,15330
"124","1981 - Cell-mediated immunity and lymphocyte populations in experimental Argentine hemorrhagic fever (Junin Virus)","G. Carballal, J. R. Oubina, S. N. Rondinone, B. Elsner and M. J. Frigerio",1981,"Cell-mediated immunity and lymphocyte populations in experimental Argentine hemorrhagic fever (Junin Virus)","Infect Immun","34","2","323-7",NA,"PMC350867",15332
"125","1981 - Disseminated intravascular coagulation: antithrombin, plasminogen, and coagulation abnormalities in 41 dogs","B. F. Feldman, B. R. Madewell and S. O'Neill",1981,"Disseminated intravascular coagulation: antithrombin, plasminogen, and coagulation abnormalities in 41 dogs","J Am Vet Med Assoc","179","2","151-4",NA,NA,15336
"126","1981 - Extracellular ion concentrations during spreading depression and ischemia in the rat brain cortex","A. J. Hansen and T. Zeuthen",1981,"Extracellular ion concentrations during spreading depression and ischemia in the rat brain cortex","Acta Physiol Scand","113","4","437-45","10.1111/j.1748-1716.1981.tb06920.x",NA,15340
"127","1981 - Ion transport and energy metabolism in brain","W. Crowe, A. Mayevsky and L. Mela",1981,"Ion transport and energy metabolism in brain","Neurol Res","3","2","107-23",NA,NA,15344
"128","1981 - Suction lesions of the frontal cerebral cortex in the rat induce asymmetrical behavioral and catecholaminergic responses","G. D. Pearlson and R. G. Robinson",1981,"Suction lesions of the frontal cerebral cortex in the rat induce asymmetrical behavioral and catecholaminergic responses","Brain Research","218","43497","233-242","10.1016/0006-8993(81)91303-2",NA,15352
"129","1981 - The nature of cerebral vasospasm","G. McHedlishvili",1981,"The nature of cerebral vasospasm","Blood Vessels","18","6","311-20",NA,NA,15347
"130","1981 - Visual aspects of centrally elicited attack behavior in the cat: 'Patterned reflexes' associated with selection of and approach to a rat","R. Bandler and S. Abeyewardene",1981,"Visual aspects of centrally elicited attack behavior in the cat: 'Patterned reflexes' associated with selection of and approach to a rat","Aggressive Behavior","7","1","19-39",NA,NA,15354
"131","1982 - [Cerebral blood flow metabolism and behavior following cerebral infarction in the awake rat (author's transl)]","M. Le Poncin-Lafitte, C. Grosdemouge and J. R. Rapin",1982,"[Cerebral blood flow metabolism and behavior following cerebral infarction in the awake rat (author's transl)]","Pathol Biol (Paris)","30","5","289-93",NA,NA,15361
"132","1982 - [Drug protection of cerebral metabolism and behavioral activity after an acute ischemic stroke]","M. Le Poncin-Lafitte, C. Grosdemouge and J. R. Rapin",1982,"[Drug protection of cerebral metabolism and behavioral activity after an acute ischemic stroke]","Agressologie","23","C","31-4",NA,NA,15367
"133","1982 - Behavioral effects of nimodipine in animals","F. Hoffmeister, U. Benz, A. Heise, H. P. Krause and V. Neuser",1982,"Behavioral effects of nimodipine in animals","Arzneimittelforschung","32","4","347-60",NA,NA,15357
"134","1982 - Central dopaminergic function in stroke prone spontaneously hypertensive rats (SHRSP): I. Alteration of locomotor activity and swimming ability","C. Shiota, S. Sasagawa and K. Hara",1982,"Central dopaminergic function in stroke prone spontaneously hypertensive rats (SHRSP): I. Alteration of locomotor activity and swimming ability","Folia Pharmacologica Japonica","80","5","375-384",NA,NA,15358
"135","1982 - Central dopaminergic function in stroke prone spontaneously hypertensive rats (SHRSP): II. Effects of chronic treatment with lisuride on the impaired swimming ability",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136","1982 - Effect of right middle cerebral artery occlusion on striatal dopaminergic function","C. Materossi, T. Maoret, R. Rozzini, P. F. Spano and M. Trabucchi",1982,"Effect of right middle cerebral artery occlusion on striatal dopaminergic function","J Neural Transm","53","4","257-64",NA,NA,15369
"137","1982 - Effect of subarachnoid hemorrhage on the extracellular microenvironment","O. R. Hubschmann and D. Kornhauser",1982,"Effect of subarachnoid hemorrhage on the extracellular microenvironment","J Neurosurg","56","2","216-21","10.3171/jns.1982.56.2.0216",NA,15371
"138","1982 - Lateralized loss of biting attack-patterned reflexes following induction of contralateral sensory neglect in the cat: A possible role for the striatum in centrally elicited aggressive behaviour","R. Bandler and R. Halliday",1982,"Lateralized loss of biting attack-patterned reflexes following induction of contralateral sensory neglect in the cat: A possible role for the striatum in centrally elicited aggressive behaviour","Brain Research","242","1","165-177","10.1016/0006-8993(82)90507-8",NA,15374
"139","1982 - Membrane properties and excitatory neuromuscular transmission in the smooth muscle of dog cerebral arteries","S. Fujiwara, T. Itoh and H. Suzuki",1982,"Membrane properties and excitatory neuromuscular transmission in the smooth muscle of dog cerebral arteries","Br J Pharmacol","77","2","197-208",NA,"PMC2044598",15375
"140","1982 - Neurotransmitter metabolism in rat brain synaptosomes: Effect of anoxia and pH","A. Pastuszko, D. F. Wilson and M. Erecinska",1982,"Neurotransmitter metabolism in rat brain synaptosomes: Effect of anoxia and pH","Journal of Neurochemistry","38","6","1657-1667","10.1111/j.1471-4159.1982.tb06647.x",NA,15379
"141","1982 - Regional cerebral blood flow and glucose metabolism following transient forebrain ischemia","W. A. Pulsinelli, D. E. Levy and T. E. Duffy",1982,"Regional cerebral blood flow and glucose metabolism following transient forebrain ischemia","Ann Neurol","11","5","499-502","10.1002/ana.410110510",NA,15380
"142","1982 - Symptomatological classification in the development of stroke in stroke-prone spontaneously hypertensive rats","Y. Yamori, R. Horie, I. Akiguchi, M. Kihara, Y. Nara and W. Lovenberg",1982,"Symptomatological classification in the development of stroke in stroke-prone spontaneously hypertensive rats","Jpn Circ J","46","3","274-83",NA,NA,15382
"143","1982 - The response of GABAergic and cholinergic neurons to transient cerebral ischemia","A. Francis and W. Pulsinelli",1982,"The response of GABAergic and cholinergic neurons to transient cerebral ischemia","Brain Res","243","2","271-8",NA,NA,15381
"144","1983 - [Administration of procyanidolic oligomers in rats. Observed effects on changes in the cerebral biochemistry, secondary to multiple infarction]","J. Cahn and M. G. Borzeix",1983,"[Administration of procyanidolic oligomers in rats. Observed effects on changes in the cerebral biochemistry, secondary to multiple infarction]","Sem Hop","59","27-28","2035-8",NA,NA,15385
